,soil_moisture,humidity,temperature,labels
231,67,71,24.9,1
232,67,71,24.7,1
233,66,71,24.8,1
234,67,72,24.8,1
235,67,71,24.6,1
236,66,72,24.4,1
237,67,72,24.3,1
238,66,70,24.4,1
239,66,72,24.2,1
240,67,72,24.1,1
241,66,73,23.9,1
242,66,71,23.9,1
243,65,72,23.7,1
244,66,72,23.6,1
245,67,71,23.6,1
246,66,71,23.5,1
247,66,70,23.5,1
248,66,71,23.4,1
249,66,71,23.4,1
250,66,71,23.4,1
251,66,71,23.2,1
252,66,70,23.3,1
253,66,69,23.4,1
254,66,68,23.3,1
255,66,69,23.3,1
256,66,69,23.3,1
257,66,69,23.3,1
258,65,70,23.1,1
259,66,70,23.1,1
260,66,70,23.1,1
261,65,70,23.1,1
262,65,70,23.0,1
263,65,70,23.1,1
264,66,71,23.0,1
265,66,72,22.9,1
266,66,71,23.0,1
267,66,71,23.1,1
268,66,72,22.9,1
269,66,71,23.0,1
270,66,71,23.0,1
271,66,72,22.9,1
272,66,71,23.0,1
273,66,71,23.0,1
274,66,71,22.7,1
275,66,73,22.7,1
276,66,71,22.8,1
277,66,72,22.6,1
278,65,71,22.7,1
279,66,71,22.6,1
280,66,73,22.5,1
281,66,74,22.5,1
282,66,75,22.2,1
283,66,75,22.2,1
284,66,75,22.2,1
285,65,74,22.3,1
286,65,72,22.4,1
287,66,74,22.2,1
288,65,74,22.4,1
289,65,72,22.4,1
290,65,72,22.4,1
291,65,73,22.3,1
292,66,73,22.3,1
293,66,73,22.2,1
294,66,74,22.0,1
295,66,73,22.1,1
296,66,74,21.9,1
297,66,73,22.0,1
298,65,73,22.2,1
299,66,71,22.4,1
300,65,72,22.3,1
301,66,71,22.2,1
302,66,72,22.1,1
303,66,74,21.9,1
304,66,74,21.8,1
305,65,75,21.8,1
306,66,75,21.8,1
307,65,75,21.7,1
308,66,75,21.7,1
309,66,73,21.9,1
310,66,74,21.9,1
311,65,75,21.6,1
312,66,75,21.5,1
313,66,76,21.3,1
314,65,76,21.4,1
315,66,74,21.4,1
316,66,74,21.3,1
317,66,74,21.1,1
318,66,75,21.1,1
319,66,73,21.4,1
320,66,74,21.1,1
321,66,73,21.1,1
322,66,71,21.3,1
323,66,70,21.2,1
324,66,71,21.2,1
325,66,70,20.9,1
326,66,72,20.8,1
327,66,73,20.8,1
328,66,74,20.6,1
329,66,74,20.5,1
330,66,75,20.3,1
331,66,76,20.3,1
332,66,77,20.2,1
333,66,78,20.2,1
334,66,78,20.2,1
335,66,78,20.2,1
336,65,78,20.3,1
337,66,77,20.2,1
338,66,78,20.0,1
339,66,78,19.9,1
340,66,78,19.7,1
341,66,78,19.8,1
342,66,77,20.0,1
343,66,76,20.2,1
344,65,75,20.3,1
345,66,75,20.2,1
346,66,73,20.4,1
347,66,72,20.5,1
348,66,74,20.5,1
349,65,74,20.4,1
350,65,75,20.7,1
351,66,75,20.7,1
352,64,76,20.9,1
353,64,76,21.0,1
354,64,79,20.5,1
355,64,80,20.3,0
356,66,82,20.2,0
357,65,82,20.2,0
358,65,84,19.9,0
359,65,83,20.1,0
360,64,84,20.0,0
361,65,84,19.9,0
362,66,86,19.8,0
363,64,86,19.7,0
364,65,84,20.0,0
365,64,84,19.9,0
366,65,82,20.0,0
367,64,80,20.2,0
368,65,80,20.0,0
369,65,81,20.0,0
370,65,82,19.6,0
371,64,82,19.7,0
372,66,83,19.8,0
373,65,83,19.8,0
374,66,82,20.0,0
375,66,81,20.1,0
376,65,82,19.9,0
377,65,85,19.6,0
378,65,84,19.8,0
379,66,85,19.5,0
380,65,86,19.2,0
381,65,85,19.4,0
382,65,84,19.5,0
383,65,83,19.7,0
384,64,84,19.5,0
385,65,86,19.4,0
386,64,85,19.5,0
387,64,85,19.3,0
388,65,84,19.2,0
389,65,82,19.2,0
390,64,84,19.2,0
391,64,82,19.3,0
392,65,82,19.2,0
393,65,85,19.0,0
394,65,84,19.3,0
395,65,80,19.6,0
396,65,79,19.5,1
397,66,80,19.1,0
398,65,81,19.1,0
399,66,77,19.4,1
400,64,79,19.2,1
401,65,77,19.7,1
402,65,76,19.7,1
403,65,76,20.1,1
404,65,75,20.3,1
405,64,72,20.4,1
406,66,70,20.9,1
407,66,66,21.2,1
408,66,64,21.6,1
409,66,57,24.2,0
410,65,50,25.9,0
411,65,47,26.4,0
412,65,46,27.5,0
413,66,44,28.1,0
414,66,43,27.8,0
415,65,43,27.8,0
416,66,42,28.0,0
417,65,40,28.2,0
418,65,39,29.0,0
419,65,38,29.5,0
420,65,37,30.0,0
421,65,37,29.5,0
422,64,39,28.5,0
423,64,42,27.3,0
424,64,38,30.1,0
425,64,37,30.8,0
426,64,37,30.5,0
427,64,34,32.0,0
428,72,35,31.0,0
429,72,35,30.4,0
430,72,33,30.9,0
431,72,35,31.3,0
432,72,33,31.2,0
433,72,35,30.9,0
434,72,63,25.9,0
435,71,63,25.9,1
436,71,63,25.9,1
437,71,63,25.9,1
438,71,63,25.9,1
439,71,63,25.9,1
440,70,63,25.9,1
441,70,63,25.9,1
442,71,63,25.9,1
443,71,63,25.9,1
444,70,63,25.9,1
445,69,63,25.9,1
446,69,63,25.9,1
447,69,63,25.9,1
448,69,63,25.9,1
449,69,63,25.9,1
450,68,63,25.9,1
451,68,63,25.9,1
452,68,63,25.9,1
453,68,63,25.9,1
454,68,63,25.9,1
455,68,63,25.9,1
456,68,63,25.9,1
457,68,63,25.9,1
458,68,63,25.9,1
459,68,63,25.9,1
460,68,63,25.9,1
461,68,63,25.9,1
462,68,63,25.9,1
463,68,63,25.9,1
464,67,63,25.9,1
465,67,63,25.9,1
466,67,63,25.9,1
467,67,63,25.9,1
468,67,63,25.9,1
469,66,63,25.9,1
470,66,63,25.9,1
471,65,63,25.9,1
472,65,63,25.9,1
473,65,63,25.9,1
474,65,63,25.9,1
475,65,63,25.9,1
476,65,63,25.9,1
477,65,63,25.9,1
478,65,63,25.9,1
479,65,63,25.9,1
480,65,63,25.9,1
481,65,63,25.9,1
482,65,63,25.9,1
483,65,63,25.9,1
484,64,63,25.9,1
485,64,63,25.9,1
486,65,63,25.9,1
487,65,63,25.9,1
488,66,63,25.9,1
489,66,63,25.9,1
490,65,63,25.9,1
491,65,63,25.9,1
492,65,63,25.9,1
493,65,63,25.9,1
494,65,63,25.9,1
495,64,63,25.9,1
496,65,63,25.9,1
497,64,63,25.9,1
498,64,49,30.1,0
499,64,51,29.6,0
500,64,52,29.0,0
501,64,52,29.2,0
502,64,53,29.1,0
503,64,53,28.4,0
504,64,52,29.0,0
505,63,55,28.1,0
506,64,53,28.7,0
507,64,53,28.1,0
508,65,53,28.3,0
509,66,56,27.4,0
510,65,58,26.6,0
511,65,60,26.1,1
512,65,62,25.8,1
513,65,60,25.9,1
514,65,60,25.5,1
515,65,61,25.5,1
516,65,63,25.6,1
517,65,65,25.4,1
518,65,66,25.2,1
519,65,66,25.2,1
520,65,65,25.1,1
521,65,66,25.1,1
522,65,65,24.9,1
523,65,65,24.7,1
524,65,65,24.7,1
525,65,65,24.6,1
526,64,65,24.6,1
527,65,65,24.4,1
528,65,65,24.3,1
529,65,64,24.3,1
530,65,64,24.2,1
